100 294
0 1 1
0 2 1
0 3 1
0 4 1
0 5 1
0 6 1
0 8 1
0 12 1
0 15 1
0 21 1
0 41 1
0 59 1
0 65 1
0 78 1
0 97 1
1 2 1
1 3 1
1 5 1
1 6 1
1 9 1
1 10 1
1 15 1
1 18 1
1 20 1
1 36 1
1 42 1
1 46 1
1 62 1
1 98 1
2 3 1
2 4 1
2 7 1
2 9 1
2 11 1
2 17 1
2 22 1
2 54 1
2 97 1
3 4 1
3 5 1
3 7 1
3 8 1
3 11 1
3 12 1
3 13 1
3 14 1
3 39 1
3 57 1
3 72 1
3 79 1
3 81 1
4 6 1
4 14 1
4 19 1
4 23 1
4 90 1
5 11 1
5 17 1
5 18 1
5 28 1
5 32 1
5 52 1
5 67 1
5 71 1
6 7 1
6 10 1
6 22 1
6 37 1
6 44 1
7 8 1
7 9 1
7 13 1
7 21 1
7 25 1
7 31 1
7 34 1
7 36 1
7 38 1
7 45 1
7 56 1
7 83 1
8 24 1
8 30 1
8 69 1
8 86 1
9 10 1
9 12 1
9 14 1
9 16 1
9 19 1
9 25 1
9 61 1
9 66 1
10 13 1
10 15 1
10 16 1
10 26 1
10 36 1
10 43 1
10 45 1
11 18 1
11 20 1
11 28 1
11 37 1
11 39 1
11 41 1
11 63 1
11 78 1
11 81 1
11 88 1
12 17 1
12 30 1
12 59 1
12 82 1
13 22 1
13 29 1
14 26 1
14 28 1
14 49 1
14 84 1
14 87 1
15 16 1
15 19 1
15 50 1
15 79 1
15 89 1
16 21 1
16 29 1
16 33 1
16 50 1
16 70 1
16 81 1
17 20 1
17 23 1
17 29 1
17 44 1
17 57 1
18 25 1
18 34 1
18 48 1
18 52 1
18 67 1
19 30 1
19 35 1
19 37 1
19 38 1
19 43 1
19 61 1
19 94 1
20 23 1
20 24 1
20 31 1
20 32 1
20 33 1
20 40 1
20 43 1
20 66 1
21 27 1
21 34 1
21 54 1
21 65 1
21 94 1
21 98 1
22 24 1
22 26 1
22 55 1
22 80 1
22 96 1
23 38 1
23 60 1
23 65 1
23 85 1
23 88 1
23 93 1
23 95 1
24 27 1
24 56 1
24 58 1
24 71 1
25 54 1
25 55 1
25 60 1
25 61 1
25 62 1
25 63 1
26 27 1
26 32 1
26 42 1
26 74 1
27 31 1
27 42 1
28 50 1
28 51 1
29 46 1
29 49 1
29 53 1
29 95 1
30 44 1
30 83 1
31 33 1
31 35 1
31 40 1
31 47 1
31 68 1
32 47 1
32 58 1
32 82 1
33 39 1
33 40 1
33 58 1
33 74 1
33 89 1
34 35 1
34 47 1
35 64 1
35 85 1
35 87 1
36 86 1
36 92 1
36 93 1
37 45 1
37 66 1
38 52 1
38 70 1
38 77 1
38 93 1
39 41 1
39 48 1
39 75 1
39 99 1
40 48 1
41 84 1
41 95 1
41 97 1
42 46 1
42 53 1
42 76 1
43 51 1
43 57 1
43 90 1
44 92 1
45 49 1
45 62 1
46 51 1
46 60 1
46 68 1
46 73 1
46 94 1
47 53 1
47 73 1
47 76 1
49 69 1
50 64 1
50 75 1
52 55 1
53 87 1
53 99 1
54 64 1
54 83 1
55 56 1
55 59 1
55 63 1
55 86 1
56 69 1
57 82 1
57 91 1
58 91 1
59 73 1
59 76 1
61 72 1
62 84 1
63 71 1
64 68 1
64 70 1
64 74 1
65 67 1
65 72 1
65 78 1
65 79 1
68 77 1
70 75 1
70 85 1
71 99 1
72 88 1
74 80 1
75 77 1
76 96 1
76 98 1
77 91 1
77 92 1
77 96 1
78 80 1
88 89 1
89 90 1
